Bird ID,Site,Course,Date,Encounter,# shots
212007,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
212022,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
211407,TTRS,Buttler,2/10/2022,Not Encountered,0
211429,TTRS,Buttler,2/10/2022,Not Encountered,0
212019,TTRS,Buttler,2/10/2022,Not Encountered,0
211413,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
201444,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
211408,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
212061,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
211410,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
212063,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
211409,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
220412,TTRS,Buttler,2/10/2022,"Birds held, hunters passed by",0
211227,TTRS,Woodyard,2/11/2022,Pointed & Flushed Wild,0
211228,TTRS,Woodyard,2/11/2022,Pointed & Flushed Wild,0
211229,TTRS,Woodyard,2/11/2022,Pointed & Flushed Wild,0
211230,TTRS,Woodyard,2/11/2022,Pointed & Flushed Wild,0
217298,TTRS,Woodyard,2/11/2022,Pointed & Flushed Wild,0
201246,TTRS,Woodyard,2/11/2022,Pointed & Shot,2
200263,TTRS,Woodyard,2/11/2022,Not Encountered,0
211236,TTRS,Woodyard,2/11/2022,Not Encountered,0
201308,TTRS,Woodyard,2/11/2022,Not Encountered,0
211223,TTRS,Woodyard,2/11/2022,Not Encountered,0
211217,TTRS,Woodyard,2/11/2022,Not Encountered,0
217257,TTRS,Woodyard,2/11/2022,Not Encountered,0
211221,TTRS,Woodyard,2/11/2022,Not Encountered,0
211224,TTRS,Woodyard,2/11/2022,Not Encountered,0
220238,TTRS,Woodyard,2/11/2022,Pointed & Shot,1
220239,TTRS,Woodyard,2/11/2022,Pointed & Shot,1
220240,TTRS,Woodyard,2/11/2022,Pointed & Shot,1
191012,TTRS,Woodyard,2/11/2022,"Birds held, hunters passed by",0
201010,TTRS,Woodyard,2/11/2022,"Birds held, hunters passed by",0
220222,TTRS,Anders Flat,2/11/2022,"Birds held, hunters passed by",0
217497,TTRS,Anders Flat,2/11/2022,"Birds held, hunters passed by",0
220223,TTRS,Anders Flat,2/11/2022,"Birds held, hunters passed by",0
220218,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
220219,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
220220,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
217181,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
220233,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
220234,TTRS,Anders Flat,2/11/2022,Pointed & Shot,3
